Ticker,Company Name,Sector,Industry,Exchange
VEDL.NS,Vedanta Limited,Basic Materials,Other Industrial Metals & Mining,NSE
VERTOZ.NS,Vertoz Limited,Technology,Software - Infrastructure,NSE
VGUARD.NS,V-Guard Industries Limited,Industrials,Electrical Equipment & Parts,NSE
VHL.NS,Vardhman Holdings Limited,Financial Services,Credit Services,NSE
VINATIORGA.NS,Vinati Organics Limited,Basic Materials,Specialty Chemicals,NSE
VINDHYATEL.NS,Vindhya Telelinks Limited,Industrials,Engineering & Construction,NSE
VINYLINDIA.NS,Vinyl Chemicals (India) Limited,Basic Materials,Specialty Chemicals,NSE
VISAKAIND.NS,Visaka Industries Limited,Industrials,Building Products & Equipment,NSE
VISASTEEL.NS,VISA Steel Limited,Basic Materials,Steel,NSE
VOLTAS.NS,Voltas Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NSE
VSTIND.NS,VST Industries Limited,Consumer Defensive,Tobacco,NSE
VTL.NS,Vardhman Textiles Limited,Consumer Cyclical,Textile Manufacturing,NSE
WEIZMANIND.NS,Weizmann Limited,Consumer Cyclical,Textile Manufacturing,NSE
WELENT.NS,Welspun Enterprises Limited,Industrials,Engineering & Construction,NSE
WESTLIFE.NS,Westlife Foodworld Limited,Consumer Cyclical,Restaurants,NSE
WHIRLPOOL.NS,Whirlpool of India Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NSE
WIPL.NS,The Western India Plywoods Limited,Basic Materials,Lumber & Wood Production,NSE
WIPRO.NS,Wipro Limited,Technology,Information Technology Services,NSE
WONDERLA.NS,Wonderla Holidays Limited,Consumer Cyclical,Leisure,NSE
WORTH.NS,Worth Peripherals Limited,Consumer Cyclical,Packaging & Containers,NSE
WSTCSTPAPR.NS,West Coast Paper Mills Limited,Basic Materials,Paper & Paper Products,NSE
XELPMOC.NS,Xelpmoc Design and Tech Limited,Technology,Information Technology Services,NSE
XPROINDIA.NS,Xpro India Limited,Basic Materials,Specialty Chemicals,NSE
YAARI.NS,Indiabulls Limited,Real Estate,Real Estate - Development,NSE
ZEEL.NS,Zee Entertainment Enterprises Limited,Communication Services,Broadcasting,NSE
ZENITHEXPO.NS,Zenith Exports Limited,Consumer Cyclical,Textile Manufacturing,NSE
ZENSARTECH.NS,Zensar Technologies Limited,Technology,Information Technology Services,NSE
ZUARI.NS,Zuari Agro Chemicals Limited,Basic Materials,Agricultural Inputs,NSE
ZYDUSLIFE.NS,Zydus Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
