ticker,current_pe,forward_pe,market_cap,revenue,net_income,ebitda,gross_profit,roe,roa,roce,profit_margins,operating_margins,gross_margins,fcf_margin,fcf_to_net_income,gp_to_assets,asset_turnover,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,dividend_yield,payout_ratio,beta,sector,industry
BANKBARODA.NS,7.847353,13.254652,1510388269056,642734555136.0,192361381888.0,,642734555136.0,0.13079001,0.01066,,0.29929,0.40710998,0.0,,,,,0.002,-0.042,-0.041,,,,2.88,0.2245,0.415,Financial Services,Banks - Regional
BASF.NS,48.152626,17.74173,181085470720,149652504576.0,3751099904.0,5905600000.0,23376599040.0,,,,0.02507,0.03132,0.15621,,,,,-0.048,-0.162,-0.162,3.857,1.736,0.875,0.48,0.2307,0.409,Basic Materials,Specialty Chemicals
BATAINDIA.NS,75.169304,43.972275,128399007744,34501959680.0,1705080064.0,4432269824.0,19040890880.0,0.113900006,0.0571,,0.04942,0.04987,0.55188,,,,,-0.043,-0.733,-0.733,90.391,1.788,0.774,1.9,0.6782,0.205,Consumer Cyclical,Footwear & Accessories
BAYERCROP.NS,34.239452,27.801445,208598712320,55717998592.0,6088999936.0,6979999744.0,21418999808.0,0.19624001,0.07835,,0.109280005,0.122889996,0.38442,,,,,-0.106,0.12,0.12,3.266,2.295,1.29,2.68,0.92260003,0.335,Basic Materials,Agricultural Inputs
BEL.NS,53.521847,54.502617,3043791994880,251521105920.0,56956698624.0,74013696000.0,122480099328.0,0.29009,0.10474,,0.22645001,0.27204,0.48696,,,,,0.258,0.173,0.179,0.273,1.817,0.926,0.58,0.3081,0.229,Industrials,Aerospace & Defense
BEML.NS,52.14326,15.7630005,154001358848,40013828096.0,2959344896.0,5012599808.0,19174574080.0,0.10762,0.04512,,0.07396,0.06337,0.47919998,,,,,-0.024,-0.059,-0.059,23.787,2.471,1.065,0.58,0.2983,0.605,Industrials,Conglomerates
BERGEPAINT.NS,61.171707,48.29713,660421083136,117073403904.0,10780999680.0,14470099968.0,47311200256.0,0.18165001,0.09715,,0.092089996,0.09026,0.40412,,,,,0.019,-0.234,-0.235,11.082,1.97,1.025,0.67,0.4108,0.45,Basic Materials,Specialty Chemicals
BHARATFORG.NS,63.554085,39.90693,689457397760,152688246784.0,10776420352.0,26560690176.0,83910926336.0,0.13017,0.05738,,0.07058,0.12023,0.54956,,,,,0.093,0.197,0.228,71.382,1.103,0.551,0.59,0.3753,0.428,Consumer Cyclical,Auto Parts
BHARTIARTL.NS,32.808273,30.868856,12851568705536,1946135035904.0,385425997824.0,996800987136.0,1294111997952.0,0.33018002,0.07565,,0.19805,0.31410998,0.66497004,,,,,0.257,0.883,0.89,129.719,0.413,0.183,0.76,0.249,0.105,Communication Services,Telecom Services
BHEL.NS,182.21873,38.46306,1015195500544,292691705856.0,5585399808.0,9939000320.0,94143201280.0,0.02299,0.00701,,0.01908,0.06729,0.32165,,,,,0.141,2.6,2.532,44.956,1.447,0.471,0.17,0.3125,0.726,Industrials,Specialty Industrial Machinery
