ticker,current_pe,forward_pe,market_cap,revenue,net_income,ebitda,gross_profit,roe,roa,roce,profit_margins,operating_margins,gross_margins,fcf_margin,fcf_to_net_income,gp_to_assets,asset_turnover,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,dividend_yield,payout_ratio,beta,sector,industry,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,screener_roce,fixed_assets_ratio,investment_ratio,screener_debt_to_equity,screener_opm,screener_dividend_payout
COLPAL.NS,42.997543,39.199245,571169832960.0,59022000128,13269900288,18533599232.0,40605900800,,,,0.22483,0.27304,0.68797994,,,,,0.017,0.003,0.003,3.791,,,2.43,1.0451,0.469,Consumer Defensive,Household & Personal Products,14.0,76.0,185.0,-95.0,-37.0,105.0,0.23348017621145375,0.0,0.03792667509481669,31.0,
COMPUSOFT.NS,41.764706,,1123577600.0,358161984,26410000,65781000.0,222471008,,,,0.07374,-0.036930002,0.62115,,,,,0.104,,,32.821,,,1.42,0.5934,0.564,Consumer Defensive,Education & Training Services,488.46,,,488.46,311.64,3.86,0.07635108864696735,0.12475699844479006,0.3301738882554162,25.99,
COMSYN.NS,22.533136,,6171897856.0,3842351104,280495008,452688512.0,1774370048,,,,0.073,0.096020006,0.46179,,,,,0.127,0.625,0.706,67.103,,,0.26,0.059,0.294,Consumer Cyclical,Packaging & Containers,46.0,155.0,36.0,166.0,52.0,11.0,0.264026402640264,0.07590759075907591,0.6392405063291139,11.0,
CONCOR.NS,30.265038,23.634884,387016130560.0,91035000832,12776800256,17176200192.0,24250499072,,,,0.14035,0.15624,0.26639,,,,,0.045,-0.089,-0.089,7.016,,,2.67,0.5482,0.227,Industrials,Railroads,16.0,,,16.0,-5.0,14.0,0.44540833615723485,0.08295493053202305,0.06730995528359614,21.0,
CONCORDBIO.NS,38.346245,30.122843,119105552384.0,11586949120,3125026048,4310786048.0,7405816832,,,,0.2697,0.28885,0.63915,,,,,0.137,-0.163,-0.151,0.088,,,0.94,0.35990003,0.582,Healthcare,Biotechnology,159.0,286.0,135.0,310.0,193.0,28.0,0.3908955962394854,0.1751608114794656,0.001095890410958904,38.0,
CONFIPET.NS,21.263779,,17944338432.0,44136898560,843500032,3066275072.0,7136399872,,,,0.01911,0.03101,0.16169001,,,,,0.999,-0.315,-0.314,55.384,,,0.18,0.0394,0.153,Energy,Oil & Gas Refining & Marketing,28.0,24.0,7.0,46.0,37.0,10.0,0.367826904985889,0.06302916274694262,0.47342995169082125,7.0,
CONSOFINVT.NS,11.508952,,7273432576.0,703160000,632457984,697093760.0,703148992,,,,0.89956003,0.98898005,0.99998003,,,,,-0.214,-0.214,-0.214,,,,0.5,0.057800002,0.505,Financial Services,Capital Markets,,,,,,,0.0008795074758135445,0.9938434476693052,0.0,,
CONTROLPR.NS,10.313106,,10220301312.0,4643191808,990489984,805768512.0,2540374016,,,,0.21332,0.11034001,0.54712003,,,,,0.15,-0.364,-0.364,1.652,,,1.57,0.16149999,0.173,Industrials,Business Equipment & Supplies,83.0,195.0,57.0,222.0,126.0,23.0,0.22711267605633803,0.18838028169014084,0.012396694214876033,24.0,
CORALFINAC.NS,9.971265,,1398487168.0,205080000,144414000,174350752.0,200858000,,,,0.70418,0.85666,0.97941,,,,,0.247,0.603,0.608,,,,1.17,0.1117,0.27,Real Estate,Real Estate Services,9.0,,,9.0,99.0,10.0,0.07860262008733625,0.6637554585152838,0.0,80.0,
CORDSCABLE.NS,13.769231,,2314072576.0,9202478080,168520000,544798976.0,1706697984,,,,0.01831,0.05114,0.18546,,,,,0.147,0.047,0.051,57.801,,,0.56,0.0769,0.349,Industrials,Electrical Equipment & Parts,95.0,41.0,60.0,77.0,39.0,16.0,0.23448275862068965,0.004597701149425287,0.531578947368421,6.0,
